"Global X MSCI China Consumer Discretionary ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
03/15/2019,16.01,0.34,2.17,0.07,0.44
03/14/2019,15.67,-0.23,-1.45,0.00,0.01
03/13/2019,15.9,-0.15,-0.93,0.06,0.40
03/12/2019,16.05,0.00,0.00,0.05,0.32
03/11/2019,16.05,0.35,2.23,0.06,0.38
03/08/2019,15.7,-0.33,-2.06,0.00,-0.00
03/07/2019,16.03,-0.52,-3.14,-0.07,-0.43
03/06/2019,16.55,-0.17,-1.02,-0.01,-0.06
03/05/2019,16.72,0.32,1.95,0.10,0.61
03/04/2019,16.4,0.13,0.80,0.05,0.32
03/01/2019,16.27,0.22,1.37,0.06,0.36
02/28/2019,16.05,0.03,0.19,0.06,0.37
02/27/2019,16.02,-0.26,-1.60,0.04,0.24
02/26/2019,16.28,-0.05,-0.31,0.13,0.80
02/25/2019,16.33,0.46,2.90,0.12,0.77
02/22/2019,15.87,0.37,2.39,0.09,0.55
02/21/2019,15.5,-0.11,-0.70,0.01,0.09
02/20/2019,15.61,0.24,1.56,0.09,0.60
02/19/2019,15.37,0.16,1.05,0.07,0.46
02/15/2019,15.21,-0.23,-1.49,0.10,0.69
02/14/2019,15.44,-0.08,-0.52,0.00,-0.02
02/13/2019,15.52,0.24,1.57,0.01,0.08
02/12/2019,15.28,0.21,1.39,0.04,0.28
02/11/2019,15.07,0.23,1.55,0.03,0.18
02/08/2019,14.84,0.03,0.20,-0.06,-0.40
02/07/2019,14.81,-0.30,-1.99,-0.11,-0.74
02/06/2019,15.11,-0.09,-0.59,-0.01,-0.03
02/05/2019,15.2,0.27,1.81,0.07,0.44
02/04/2019,14.93,0.07,0.47,-0.02,-0.15
02/01/2019,14.86,0.09,0.61,-0.06,-0.39
01/31/2019,14.77,0.21,1.44,0.01,0.07
01/30/2019,14.56,0.20,1.39,0.03,0.23
01/29/2019,14.36,-0.05,-0.35,-0.05,-0.33
01/28/2019,14.41,-0.17,-1.17,-0.07,-0.48
01/25/2019,14.58,0.39,2.75,0.05,0.35
01/24/2019,14.19,0.18,1.28,0.01,0.10
01/23/2019,14.01,0.15,1.08,-0.02,-0.15
01/22/2019,13.86,-0.34,-2.39,-0.09,-0.66
01/18/2019,14.2,0.31,2.23,0.04,0.29
01/17/2019,13.89,0.07,0.51,0.03,0.20
01/16/2019,13.82,0.16,1.17,-0.01,-0.11
01/15/2019,13.66,0.22,1.64,-0.05,-0.39
01/14/2019,13.44,-0.09,-0.67,0.03,0.25
01/11/2019,13.53,-0.15,-1.10,-0.14,-0.99
01/10/2019,13.68,0.03,0.22,0.02,0.17
01/09/2019,13.65,0.49,3.72,0.03,0.25
01/08/2019,13.16,0.02,0.15,0.01,0.05
01/07/2019,13.14,0.09,0.69,-0.01,-0.08
01/04/2019,13.05,0.50,3.98,0.06,0.48
01/03/2019,12.55,-0.42,-3.24,-0.05,-0.39
01/02/2019,12.97,-0.03,-0.23,0.00,-0.00
12/31/2018,13,-0.09,-0.69,-0.10,-0.79
12/28/2018,13.09,-0.20,-1.50,-0.04,-0.34
12/27/2018,13.29,-0.15,-1.12,-0.07,-0.52
12/26/2018,13.44,0.24,1.82,-0.02,-0.16
12/24/2018,13.2,0.08,0.61,-0.05,-0.35
12/21/2018,13.12,-0.10,-0.76,-0.15,-1.14
12/20/2018,13.22,-0.05,-0.38,-0.12,-0.87
12/19/2018,13.27,-0.30,-2.21,-0.16,-1.17
12/18/2018,13.57,-0.04,-0.29,-0.02,-0.16
12/17/2018,13.61,-0.36,-2.58,-0.18,-1.30
12/14/2018,13.97,-0.16,-1.13,-0.06,-0.43
12/13/2018,14.13,0.12,0.86,-0.09,-0.63
12/12/2018,14.01,0.24,1.74,0.02,0.11
12/11/2018,13.77,0.13,0.95,0.02,0.12
12/10/2018,13.64,-0.17,-1.23,-0.07,-0.54
12/07/2018,13.81,-0.25,-1.78,-0.11,-0.81
12/06/2018,14.06,-0.40,-2.77,-0.04,-0.27
12/05/2018,14.46,0.00,0.00,0.00,0.00
12/04/2018,14.46,-0.25,-1.70,-0.13,-0.89
12/03/2018,14.71,0.52,3.66,0.00,0.03
11/30/2018,14.19,0.08,0.57,0.02,0.14
11/29/2018,14.11,-0.19,-1.33,0.00,0.01
11/28/2018,14.3,0.26,1.85,0.03,0.24
11/27/2018,14.04,-0.01,-0.07,0.00,0.02
11/26/2018,14.05,0.37,2.70,-0.07,-0.48
11/23/2018,13.68,-0.29,-2.08,-0.11,-0.79
11/21/2018,13.97,0.41,3.02,0.02,0.16
11/20/2018,13.56,-0.31,-2.24,-0.10,-0.76
11/19/2018,13.87,-0.30,-2.12,-0.13,-0.94
11/16/2018,14.17,-0.07,-0.49,0.06,0.42
11/15/2018,14.24,0.32,2.30,0.03,0.19
11/14/2018,13.92,0.17,1.24,0.03,0.20
