Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/15/2019,ProShares Ultra MSCI Emerging Markets,EET,74.42,72.32,2.90376,2.1,725,53954500
03/14/2019,ProShares Ultra MSCI Emerging Markets,EET,72.32,73.13,-1.10762,-0.81,725,52432000
03/13/2019,ProShares Ultra MSCI Emerging Markets,EET,73.13,72.97,0.21927,0.16,650,47534500
03/12/2019,ProShares Ultra MSCI Emerging Markets,EET,72.97,72.22,1.03849,0.75,650,47430500
03/11/2019,ProShares Ultra MSCI Emerging Markets,EET,72.22,69.62,3.73456,2.6,650,46943000
03/08/2019,ProShares Ultra MSCI Emerging Markets,EET,69.62,70.64,-1.44394,-1.02,650,45253000
03/07/2019,ProShares Ultra MSCI Emerging Markets,EET,70.64,73.38,-3.73399,-2.74,650,45916000
03/06/2019,ProShares Ultra MSCI Emerging Markets,EET,73.38,74.21,-1.11845,-0.83,650,47697000
03/05/2019,ProShares Ultra MSCI Emerging Markets,EET,74.21,72.79,1.95082,1.42,650,48236500
03/04/2019,ProShares Ultra MSCI Emerging Markets,EET,72.79,72.58,0.28934,0.21,650,47313500
03/01/2019,ProShares Ultra MSCI Emerging Markets,EET,72.58,72.42,0.22093,0.16,700,50806000
02/28/2019,ProShares Ultra MSCI Emerging Markets,EET,72.42,74.39,-2.64821,-1.97,700,50694000
02/27/2019,ProShares Ultra MSCI Emerging Markets,EET,74.39,75.69,-1.71753,-1.3,700,52073000
02/26/2019,ProShares Ultra MSCI Emerging Markets,EET,75.69,76.22,-0.69536,-0.53,700,52983000
02/25/2019,ProShares Ultra MSCI Emerging Markets,EET,76.22,74.57,2.21269,1.65,675,51448500
02/22/2019,ProShares Ultra MSCI Emerging Markets,EET,74.57,72.96,2.20669,1.61,775,57791750
02/21/2019,ProShares Ultra MSCI Emerging Markets,EET,72.96,73.3,-0.46385,-0.34,775,56544000
02/20/2019,ProShares Ultra MSCI Emerging Markets,EET,73.3,72.48,1.13135,0.82,775,56807500
02/19/2019,ProShares Ultra MSCI Emerging Markets,EET,72.48,71.37,1.55528,1.11,775,56172000
02/15/2019,ProShares Ultra MSCI Emerging Markets,EET,71.37,71.58,-0.29338,-0.21,775,55311750
02/14/2019,ProShares Ultra MSCI Emerging Markets,EET,71.58,71.35,0.32235,0.23,775,55474500
02/13/2019,ProShares Ultra MSCI Emerging Markets,EET,71.35,72.39,-1.43666,-1.04,750,53512500
02/12/2019,ProShares Ultra MSCI Emerging Markets,EET,72.39,71.21,1.65707,1.18,575,41624250
02/11/2019,ProShares Ultra MSCI Emerging Markets,EET,71.21,71.69,-0.66955,-0.48,475,33824750
02/08/2019,ProShares Ultra MSCI Emerging Markets,EET,71.69,72.52,-1.14451,-0.83,450,32260500
02/07/2019,ProShares Ultra MSCI Emerging Markets,EET,72.52,74.03,-2.03971,-1.51,450,32634000
02/06/2019,ProShares Ultra MSCI Emerging Markets,EET,74.03,76.11,-2.73289,-2.08,425,31462750
02/05/2019,ProShares Ultra MSCI Emerging Markets,EET,76.11,74.08,2.74028,2.03,400,30444000
02/04/2019,ProShares Ultra MSCI Emerging Markets,EET,74.08,73.84,0.32503,0.24,400,29632000
02/01/2019,ProShares Ultra MSCI Emerging Markets,EET,73.84,75.03,-1.58603,-1.19,400,29536000
01/31/2019,ProShares Ultra MSCI Emerging Markets,EET,75.03,73.81,1.65289,1.22,400,30012000
01/30/2019,ProShares Ultra MSCI Emerging Markets,EET,73.81,70.74,4.33984,3.07,400,29524000
01/29/2019,ProShares Ultra MSCI Emerging Markets,EET,70.74,70.51,0.32619,0.23,425,30064500
01/28/2019,ProShares Ultra MSCI Emerging Markets,EET,70.51,72.02,-2.09664,-1.51,425,29966750
01/25/2019,ProShares Ultra MSCI Emerging Markets,EET,72.02,70.17,2.63645,1.85,425,30608500
01/24/2019,ProShares Ultra MSCI Emerging Markets,EET,70.17,68.87,1.88761,1.3,450,31576500
01/23/2019,ProShares Ultra MSCI Emerging Markets,EET,68.87,67.49,2.04475,1.38,450,30991500
01/22/2019,ProShares Ultra MSCI Emerging Markets,EET,67.49,69.91,-3.46159,-2.42,450,30370500
01/18/2019,ProShares Ultra MSCI Emerging Markets,EET,69.91,69.25,0.95307,0.66,425,29711750
01/17/2019,ProShares Ultra MSCI Emerging Markets,EET,69.25,68.69,0.81526,0.56,425,29431250
01/16/2019,ProShares Ultra MSCI Emerging Markets,EET,68.69,67.05,2.44594,1.64,400,27476000
01/15/2019,ProShares Ultra MSCI Emerging Markets,EET,67.05,66.14,1.37587,0.91,400,26820000
01/14/2019,ProShares Ultra MSCI Emerging Markets,EET,66.14,67.26,-1.66518,-1.12,400,26456000
01/11/2019,ProShares Ultra MSCI Emerging Markets,EET,67.26,67.93,-0.98631,-0.67,400,26904000
01/10/2019,ProShares Ultra MSCI Emerging Markets,EET,67.93,67,1.38806,0.93,400,27172000
01/09/2019,ProShares Ultra MSCI Emerging Markets,EET,67,64.71,3.53887,2.29,400,26800000
01/08/2019,ProShares Ultra MSCI Emerging Markets,EET,64.71,64.24,0.73163,0.47,375,24266250
01/07/2019,ProShares Ultra MSCI Emerging Markets,EET,64.24,63.95,0.45348,0.29,375,24090000
01/04/2019,ProShares Ultra MSCI Emerging Markets,EET,63.95,60.08,6.44141,3.87,375,23981250
01/03/2019,ProShares Ultra MSCI Emerging Markets,EET,60.08,62.36,-3.65619,-2.28,375,22530000
01/02/2019,ProShares Ultra MSCI Emerging Markets,EET,62.36,62.05,0.49960,0.31,375,23385000
12/31/2018,ProShares Ultra MSCI Emerging Markets,EET,62.05,62.62,-0.91025,-0.57,375,23268750
12/28/2018,ProShares Ultra MSCI Emerging Markets,EET,62.62,61.47,1.87083,1.15,375,23482500
12/27/2018,ProShares Ultra MSCI Emerging Markets,EET,61.47,61.65,-0.29197,-0.18,375,23051250
12/26/2018,ProShares Ultra MSCI Emerging Markets,EET,61.65,59.39,3.80535,2.26,375,23118750
12/24/2018,ProShares Ultra MSCI Emerging Markets,EET,59.39,60.52,-1.86715,-1.13,375,22271250
12/21/2018,ProShares Ultra MSCI Emerging Markets,EET,60.52,61.39,-1.41717,-0.87,375,22695000
12/20/2018,ProShares Ultra MSCI Emerging Markets,EET,61.39,60.47,1.52142,0.92,375,23021250
12/19/2018,ProShares Ultra MSCI Emerging Markets,EET,60.47,62.56,-3.34079,-2.09,375,22676250
12/18/2018,ProShares Ultra MSCI Emerging Markets,EET,62.56,61.73,1.34457,0.83,375,23460000
12/17/2018,ProShares Ultra MSCI Emerging Markets,EET,61.73,62.91,-1.87570,-1.18,350,21605500
12/14/2018,ProShares Ultra MSCI Emerging Markets,EET,62.91,64.75,-2.84170,-1.84,350,22018500
12/13/2018,ProShares Ultra MSCI Emerging Markets,EET,64.75,64.8,-0.07716,-0.05,350,22662500
12/12/2018,ProShares Ultra MSCI Emerging Markets,EET,64.8,62.75,3.26693,2.05,350,22680000
12/11/2018,ProShares Ultra MSCI Emerging Markets,EET,62.75,61.82,1.50437,0.93,350,21962500
12/10/2018,ProShares Ultra MSCI Emerging Markets,EET,61.82,63.15,-2.10610,-1.33,350,21637000
12/07/2018,ProShares Ultra MSCI Emerging Markets,EET,63.15,65.61,-3.74943,-2.46,350,22102500
12/06/2018,ProShares Ultra MSCI Emerging Markets,EET,65.61,66.87,-1.88425,-1.26,350,22963500
12/04/2018,ProShares Ultra MSCI Emerging Markets,EET,66.87,69.86,-4.27999,-2.99,350,23404500
12/03/2018,ProShares Ultra MSCI Emerging Markets,EET,69.86,67.15,4.03574,2.71,350,24451000
11/30/2018,ProShares Ultra MSCI Emerging Markets,EET,67.15,67.29,-0.20805,-0.14,350,23502500
11/29/2018,ProShares Ultra MSCI Emerging Markets,EET,67.29,68.5,-1.76642,-1.21,350,23551500
11/28/2018,ProShares Ultra MSCI Emerging Markets,EET,68.5,65.39,4.75608,3.11,350,23975000
11/27/2018,ProShares Ultra MSCI Emerging Markets,EET,65.39,64.5,1.37984,0.89,350,22886500
11/26/2018,ProShares Ultra MSCI Emerging Markets,EET,64.5,62.95,2.46227,1.55,350,22575000
11/23/2018,ProShares Ultra MSCI Emerging Markets,EET,62.95,64.46,-2.34254,-1.51,375,23606250
11/21/2018,ProShares Ultra MSCI Emerging Markets,EET,64.46,62.17,3.68345,2.29,375,24172500
11/20/2018,ProShares Ultra MSCI Emerging Markets,EET,62.17,64.99,-4.33913,-2.82,375,23313750
11/19/2018,ProShares Ultra MSCI Emerging Markets,EET,64.99,66.8,-2.70958,-1.81,375,24371250
11/16/2018,ProShares Ultra MSCI Emerging Markets,EET,66.8,66.55,0.37566,0.25,375,25050000
11/15/2018,ProShares Ultra MSCI Emerging Markets,EET,66.55,63.72,4.44131,2.83,375,24956250
11/14/2018,ProShares Ultra MSCI Emerging Markets,EET,63.72,62.97,1.19104,0.75,375,23895000
11/13/2018,ProShares Ultra MSCI Emerging Markets,EET,62.97,61.56,2.29045,1.41,375,23613750
11/12/2018,ProShares Ultra MSCI Emerging Markets,EET,61.56,63.35,-2.82557,-1.79,375,23085000
11/09/2018,ProShares Ultra MSCI Emerging Markets,EET,63.35,65.79,-3.70877,-2.44,375,23756250
11/08/2018,ProShares Ultra MSCI Emerging Markets,EET,65.79,69.43,-5.24269,-3.64,375,24671250
