Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/15/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.06,43.31,-2.88617,-1.25,438.77,18454708.26
03/14/2019,ProShares UltraShort MSCI Emerging Markets,EEV,43.31,42.84,1.09711,0.47,438.77,19003172.01
03/13/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.84,42.94,-0.23288,-0.1,438.77,18796949.64
03/12/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.94,43.38,-1.01429,-0.44,438.77,18840826.74
03/11/2019,ProShares UltraShort MSCI Emerging Markets,EEV,43.38,45.07,-3.74972,-1.69,413.77,17949385.98
03/08/2019,ProShares UltraShort MSCI Emerging Markets,EEV,45.07,44.42,1.46330,0.65,413.77,18648658.97
03/07/2019,ProShares UltraShort MSCI Emerging Markets,EEV,44.42,42.83,3.71235,1.59,413.77,18379707.82
03/06/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.83,42.36,1.10954,0.47,438.77,18792561.93
03/05/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.36,43.21,-1.96714,-0.85,438.77,18586339.56
03/04/2019,ProShares UltraShort MSCI Emerging Markets,EEV,43.21,43.33,-0.27694,-0.12,438.77,18959294.91
03/01/2019,ProShares UltraShort MSCI Emerging Markets,EEV,43.33,43.42,-0.20728,-0.09,438.77,19011947.43
02/28/2019,ProShares UltraShort MSCI Emerging Markets,EEV,43.42,42.31,2.62349,1.11,438.77,19051436.82
02/27/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.31,41.6,1.70673,0.71,438.77,18564401.01
02/26/2019,ProShares UltraShort MSCI Emerging Markets,EEV,41.6,41.31,0.70201,0.29,438.77,18252873.6
02/25/2019,ProShares UltraShort MSCI Emerging Markets,EEV,41.31,42.25,-2.22485,-0.94,438.77,18125630.01
02/22/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.25,43.2,-2.19907,-0.95,438.77,18538074.75
02/21/2019,ProShares UltraShort MSCI Emerging Markets,EEV,43.2,43.01,0.44176,0.19,438.77,18954907.2
02/20/2019,ProShares UltraShort MSCI Emerging Markets,EEV,43.01,43.5,-1.12644,-0.49,438.77,18871540.71
02/19/2019,ProShares UltraShort MSCI Emerging Markets,EEV,43.5,44.19,-1.56144,-0.69,413.77,17999038.5
02/15/2019,ProShares UltraShort MSCI Emerging Markets,EEV,44.19,44.05,0.31782,0.14,413.77,18284540.49
02/14/2019,ProShares UltraShort MSCI Emerging Markets,EEV,44.05,44.21,-0.36191,-0.16,413.77,18226612.55
02/13/2019,ProShares UltraShort MSCI Emerging Markets,EEV,44.21,43.59,1.42234,0.62,413.77,18292815.91
02/12/2019,ProShares UltraShort MSCI Emerging Markets,EEV,43.59,44.32,-1.64711,-0.73,463.77,20215777.89
02/11/2019,ProShares UltraShort MSCI Emerging Markets,EEV,44.32,44.02,0.68151,0.3,463.77,20554330.72
02/08/2019,ProShares UltraShort MSCI Emerging Markets,EEV,44.02,43.52,1.14890,0.5,463.77,20415199.42
02/07/2019,ProShares UltraShort MSCI Emerging Markets,EEV,43.52,42.65,2.03986,0.87,463.77,20183313.92
02/06/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.65,41.52,2.72158,1.13,463.77,19779833.15
02/05/2019,ProShares UltraShort MSCI Emerging Markets,EEV,41.52,42.69,-2.74069,-1.17,463.77,19255771.92
02/04/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.69,42.83,-0.32687,-0.14,413.77,17663883.99
02/01/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.83,42.15,1.61329,0.68,413.77,17721811.93
01/31/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.15,42.87,-1.67950,-0.72,413.77,17440447.65
01/30/2019,ProShares UltraShort MSCI Emerging Markets,EEV,42.87,44.82,-4.35074,-1.95,413.77,17738362.77
01/29/2019,ProShares UltraShort MSCI Emerging Markets,EEV,44.82,44.97,-0.33356,-0.15,463.77,20786216.22
01/28/2019,ProShares UltraShort MSCI Emerging Markets,EEV,44.97,44.04,2.11172,0.93,463.77,20855781.87
01/25/2019,ProShares UltraShort MSCI Emerging Markets,EEV,44.04,45.23,-2.63100,-1.19,463.77,20424474.84
01/24/2019,ProShares UltraShort MSCI Emerging Markets,EEV,45.23,46.12,-1.92975,-0.89,463.77,20976362.33
01/23/2019,ProShares UltraShort MSCI Emerging Markets,EEV,46.12,47.09,-2.05989,-0.97,463.77,21389118.52
01/22/2019,ProShares UltraShort MSCI Emerging Markets,EEV,47.09,45.5,3.49451,1.59,463.77,21838976.39
01/18/2019,ProShares UltraShort MSCI Emerging Markets,EEV,45.5,45.94,-0.95777,-0.44,463.77,21101580.5
01/17/2019,ProShares UltraShort MSCI Emerging Markets,EEV,45.94,46.33,-0.84179,-0.39,463.77,21305639.74
01/16/2019,ProShares UltraShort MSCI Emerging Markets,EEV,46.33,47.49,-2.44262,-1.16,463.77,21486510.43
01/15/2019,ProShares UltraShort MSCI Emerging Markets,EEV,47.49,48.16,-1.39120,-0.67,463.77,22024484.79
01/14/2019,ProShares UltraShort MSCI Emerging Markets,EEV,48.16,47.36,1.68919,0.8,463.77,22335211.36
01/11/2019,ProShares UltraShort MSCI Emerging Markets,EEV,47.36,46.89,1.00235,0.47,463.77,21964194.56
01/10/2019,ProShares UltraShort MSCI Emerging Markets,EEV,46.89,47.56,-1.40875,-0.67,463.77,21746222.19
01/09/2019,ProShares UltraShort MSCI Emerging Markets,EEV,47.56,49.31,-3.54898,-1.75,463.77,22056948.76
01/08/2019,ProShares UltraShort MSCI Emerging Markets,EEV,49.31,49.68,-0.74477,-0.37,513.77,25334048.01
01/07/2019,ProShares UltraShort MSCI Emerging Markets,EEV,49.68,49.9,-0.44088,-0.22,513.77,25524143.28
01/04/2019,ProShares UltraShort MSCI Emerging Markets,EEV,49.9,53.34,-6.44919,-3.44,513.77,25637172.9
01/03/2019,ProShares UltraShort MSCI Emerging Markets,EEV,53.34,51.46,3.65332,1.88,513.77,27404545.14
01/02/2019,ProShares UltraShort MSCI Emerging Markets,EEV,51.46,51.71,-0.48347,-0.25,513.77,26438655.66
12/31/2018,ProShares UltraShort MSCI Emerging Markets,EEV,51.71,51.24,0.91725,0.47,513.77,26567098.41
12/28/2018,ProShares UltraShort MSCI Emerging Markets,EEV,51.24,52.22,-1.87668,-0.98,513.77,26325626.04
12/27/2018,ProShares UltraShort MSCI Emerging Markets,EEV,52.22,52.07,0.28807,0.15,513.77,26829121.62
12/26/2018,ProShares UltraShort MSCI Emerging Markets,EEV,52.07,54.35,-4.19503,-2.28,513.77,26752055.97
12/24/2018,ProShares UltraShort MSCI Emerging Markets,EEV,54.35,53.34,1.89351,1.01,513.77,27923453.85
12/21/2018,ProShares UltraShort MSCI Emerging Markets,EEV,53.34,52.6,1.40684,0.74,513.77,27404545.14
12/20/2018,ProShares UltraShort MSCI Emerging Markets,EEV,52.6,53.42,-1.53501,-0.82,513.77,27024354.6
12/19/2018,ProShares UltraShort MSCI Emerging Markets,EEV,53.42,51.7,3.32689,1.72,513.77,27445646.82
12/18/2018,ProShares UltraShort MSCI Emerging Markets,EEV,51.7,52.41,-1.35470,-0.71,513.77,26561960.7
12/17/2018,ProShares UltraShort MSCI Emerging Markets,EEV,52.41,51.45,1.86589,0.96,513.77,26926738.11
12/14/2018,ProShares UltraShort MSCI Emerging Markets,EEV,51.45,50.04,2.81775,1.41,513.77,26433517.95
12/13/2018,ProShares UltraShort MSCI Emerging Markets,EEV,50.04,50,0.08000,0.04,513.77,25709100.84
12/12/2018,ProShares UltraShort MSCI Emerging Markets,EEV,50,51.69,-3.26949,-1.69,463.77,23188550
12/11/2018,ProShares UltraShort MSCI Emerging Markets,EEV,51.69,52.48,-1.50534,-0.79,463.77,23972322.99
12/10/2018,ProShares UltraShort MSCI Emerging Markets,EEV,52.48,51.39,2.12104,1.09,463.77,24338702.08
12/07/2018,ProShares UltraShort MSCI Emerging Markets,EEV,51.39,49.53,3.75530,1.86,463.77,23833191.69
12/06/2018,ProShares UltraShort MSCI Emerging Markets,EEV,49.53,48.62,1.87166,0.91,463.77,22970577.63
12/04/2018,ProShares UltraShort MSCI Emerging Markets,EEV,48.62,46.64,4.24528,1.98,463.77,22548546.02
12/03/2018,ProShares UltraShort MSCI Emerging Markets,EEV,46.64,48.6,-4.03292,-1.96,413.77,19298279.44
11/30/2018,ProShares UltraShort MSCI Emerging Markets,EEV,48.6,48.5,0.20619,0.1,413.77,20109270.6
11/29/2018,ProShares UltraShort MSCI Emerging Markets,EEV,48.5,47.66,1.76248,0.84,413.77,20067893.5
11/28/2018,ProShares UltraShort MSCI Emerging Markets,EEV,47.66,50.06,-4.79425,-2.4,413.77,19720325.86
11/27/2018,ProShares UltraShort MSCI Emerging Markets,EEV,50.06,50.76,-1.37904,-0.7,463.77,23216376.26
11/26/2018,ProShares UltraShort MSCI Emerging Markets,EEV,50.76,52.03,-2.44090,-1.27,463.77,23541015.96
11/23/2018,ProShares UltraShort MSCI Emerging Markets,EEV,52.03,50.84,2.34068,1.19,463.77,24130005.13
11/21/2018,ProShares UltraShort MSCI Emerging Markets,EEV,50.84,52.78,-3.67563,-1.94,463.77,23578117.64
11/20/2018,ProShares UltraShort MSCI Emerging Markets,EEV,52.78,50.59,4.32892,2.19,463.77,24477833.38
