Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/18/2019,ProShares Short MSCI Emerging Markets,EUM,18.27,18.47,-1.08284,-0.2,3850,70339500
03/15/2019,ProShares Short MSCI Emerging Markets,EUM,18.47,18.74,-1.44077,-0.27,3900,72033000
03/14/2019,ProShares Short MSCI Emerging Markets,EUM,18.74,18.64,0.53648,0.1,3800,71212000
03/13/2019,ProShares Short MSCI Emerging Markets,EUM,18.64,18.66,-0.10718,-0.02,3800,70832000
03/12/2019,ProShares Short MSCI Emerging Markets,EUM,18.66,18.76,-0.53305,-0.1,3800,70908000
03/11/2019,ProShares Short MSCI Emerging Markets,EUM,18.76,19.11,-1.83150,-0.35,3800,71288000
03/08/2019,ProShares Short MSCI Emerging Markets,EUM,19.11,18.97,0.73801,0.14,3800,72618000
03/07/2019,ProShares Short MSCI Emerging Markets,EUM,18.97,18.63,1.82501,0.34,3800,72086000
03/06/2019,ProShares Short MSCI Emerging Markets,EUM,18.63,18.52,0.59395,0.11,4000,74520000
03/05/2019,ProShares Short MSCI Emerging Markets,EUM,18.52,18.71,-1.01550,-0.19,3950,73154000
03/04/2019,ProShares Short MSCI Emerging Markets,EUM,18.71,18.73,-0.10678,-0.02,3950,73904500
03/01/2019,ProShares Short MSCI Emerging Markets,EUM,18.73,18.75,-0.10667,-0.02,3950,73983500
02/28/2019,ProShares Short MSCI Emerging Markets,EUM,18.75,18.51,1.29660,0.24,3950,74062500
02/27/2019,ProShares Short MSCI Emerging Markets,EUM,18.51,18.35,0.87193,0.16,3950,73114500
02/26/2019,ProShares Short MSCI Emerging Markets,EUM,18.35,18.29,0.32805,0.06,3950,72482500
02/25/2019,ProShares Short MSCI Emerging Markets,EUM,18.29,18.49,-1.08167,-0.2,3950,72245500
02/22/2019,ProShares Short MSCI Emerging Markets,EUM,18.49,18.7,-1.12299,-0.21,3950,73035500
02/21/2019,ProShares Short MSCI Emerging Markets,EUM,18.7,18.65,0.26810,0.05,3950,73865000
02/20/2019,ProShares Short MSCI Emerging Markets,EUM,18.65,18.76,-0.58635,-0.11,3850,71802500
02/19/2019,ProShares Short MSCI Emerging Markets,EUM,18.76,18.91,-0.79323,-0.15,3850,72226000
02/15/2019,ProShares Short MSCI Emerging Markets,EUM,18.91,18.88,0.15890,0.03,3850,72803500
02/14/2019,ProShares Short MSCI Emerging Markets,EUM,18.88,18.91,-0.15865,-0.03,5200,98176000
02/13/2019,ProShares Short MSCI Emerging Markets,EUM,18.91,18.77,0.74587,0.14,5200,98332000
02/12/2019,ProShares Short MSCI Emerging Markets,EUM,18.77,18.93,-0.84522,-0.16,5200,97604000
02/11/2019,ProShares Short MSCI Emerging Markets,EUM,18.93,18.87,0.31797,0.06,5200,98436000
02/08/2019,ProShares Short MSCI Emerging Markets,EUM,18.87,18.76,0.58635,0.11,5200,98124000
02/07/2019,ProShares Short MSCI Emerging Markets,EUM,18.76,18.57,1.02316,0.19,4900,91924000
02/06/2019,ProShares Short MSCI Emerging Markets,EUM,18.57,18.32,1.36463,0.25,4850,90064500
02/05/2019,ProShares Short MSCI Emerging Markets,EUM,18.32,18.57,-1.34626,-0.25,4900,89768000
02/04/2019,ProShares Short MSCI Emerging Markets,EUM,18.57,18.6,-0.16129,-0.03,4900,90993000
02/01/2019,ProShares Short MSCI Emerging Markets,EUM,18.6,18.45,0.81301,0.15,4900,91140000
01/31/2019,ProShares Short MSCI Emerging Markets,EUM,18.45,18.61,-0.85975,-0.16,5100,94095000
01/30/2019,ProShares Short MSCI Emerging Markets,EUM,18.61,19.02,-2.15563,-0.41,5100,94911000
01/29/2019,ProShares Short MSCI Emerging Markets,EUM,19.02,19.05,-0.15748,-0.03,5100,97002000
01/28/2019,ProShares Short MSCI Emerging Markets,EUM,19.05,18.85,1.06101,0.2,5100,97155000
01/25/2019,ProShares Short MSCI Emerging Markets,EUM,18.85,19.1,-1.30890,-0.25,5100,96135000
01/24/2019,ProShares Short MSCI Emerging Markets,EUM,19.1,19.29,-0.98497,-0.19,5050,96455000
01/23/2019,ProShares Short MSCI Emerging Markets,EUM,19.29,19.49,-1.02617,-0.2,5050,97414500
01/22/2019,ProShares Short MSCI Emerging Markets,EUM,19.49,19.15,1.77546,0.34,5100,99399000
01/18/2019,ProShares Short MSCI Emerging Markets,EUM,19.15,19.24,-0.46778,-0.09,5300,101495000
01/17/2019,ProShares Short MSCI Emerging Markets,EUM,19.24,19.32,-0.41408,-0.08,5300,101972000
01/16/2019,ProShares Short MSCI Emerging Markets,EUM,19.32,19.56,-1.22699,-0.24,5350,103362000
01/15/2019,ProShares Short MSCI Emerging Markets,EUM,19.56,19.7,-0.71066,-0.14,5350,104646000
01/14/2019,ProShares Short MSCI Emerging Markets,EUM,19.7,19.54,0.81883,0.16,5250,103425000
01/11/2019,ProShares Short MSCI Emerging Markets,EUM,19.54,19.44,0.51440,0.1,5250,102585000
01/10/2019,ProShares Short MSCI Emerging Markets,EUM,19.44,19.57,-0.66428,-0.13,5550,107892000
01/09/2019,ProShares Short MSCI Emerging Markets,EUM,19.57,19.93,-1.80632,-0.36,5550,108613500
