Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/14/2019,ProShares UltraShort FTSE China 50,FXP,59.95,59.55,0.67170,0.4,551.95,33089222.65
03/13/2019,ProShares UltraShort FTSE China 50,FXP,59.55,59.23,0.54027,0.32,551.95,32868443.85
03/12/2019,ProShares UltraShort FTSE China 50,FXP,59.23,60.63,-2.30909,-1.4,551.95,32691820.81
03/11/2019,ProShares UltraShort FTSE China 50,FXP,60.63,63.14,-3.97529,-2.51,551.95,33464546.61
03/08/2019,ProShares UltraShort FTSE China 50,FXP,63.14,60.94,3.61011,2.2,551.95,34849933.58
03/07/2019,ProShares UltraShort FTSE China 50,FXP,60.94,58.34,4.45663,2.6,551.95,33635650.18
03/06/2019,ProShares UltraShort FTSE China 50,FXP,58.34,57.18,2.02868,1.16,551.95,32200587.98
03/05/2019,ProShares UltraShort FTSE China 50,FXP,57.18,58.64,-2.48977,-1.46,551.95,31560329.46
03/04/2019,ProShares UltraShort FTSE China 50,FXP,58.64,59.3,-1.11298,-0.66,551.95,32366172.08
03/01/2019,ProShares UltraShort FTSE China 50,FXP,59.3,60.79,-2.45106,-1.49,551.95,32730457.1
02/28/2019,ProShares UltraShort FTSE China 50,FXP,60.79,59.96,1.38426,0.83,551.95,33552858.13
02/27/2019,ProShares UltraShort FTSE China 50,FXP,59.96,58.08,3.23691,1.88,551.95,33094742.12
02/26/2019,ProShares UltraShort FTSE China 50,FXP,58.08,57.14,1.64508,0.94,551.95,32057081.76
02/25/2019,ProShares UltraShort FTSE China 50,FXP,57.14,59.51,-3.98252,-2.37,501.95,28681251.58
02/22/2019,ProShares UltraShort FTSE China 50,FXP,59.51,61.61,-3.40854,-2.1,501.95,29870865.97
02/21/2019,ProShares UltraShort FTSE China 50,FXP,61.61,61.31,0.48932,0.3,501.95,30924954.67
02/20/2019,ProShares UltraShort FTSE China 50,FXP,61.31,62.02,-1.14479,-0.71,501.95,30774370.57
02/19/2019,ProShares UltraShort FTSE China 50,FXP,62.02,63.87,-2.89651,-1.85,501.95,31130752.94
02/15/2019,ProShares UltraShort FTSE China 50,FXP,63.87,63.18,1.09212,0.69,501.95,32059354.89
02/14/2019,ProShares UltraShort FTSE China 50,FXP,63.18,62.7,0.76555,0.48,501.95,31713011.46
02/13/2019,ProShares UltraShort FTSE China 50,FXP,62.7,63.89,-1.86258,-1.19,501.95,31472076.9
02/12/2019,ProShares UltraShort FTSE China 50,FXP,63.89,64.12,-0.35870,-0.23,501.95,32069393.83
02/11/2019,ProShares UltraShort FTSE China 50,FXP,64.12,64.48,-0.55831,-0.36,501.95,32184841.64
02/08/2019,ProShares UltraShort FTSE China 50,FXP,64.48,64.5,-0.03101,-0.02,501.95,32365542.56
02/07/2019,ProShares UltraShort FTSE China 50,FXP,64.5,63.11,2.20250,1.39,501.95,32375581.5
02/06/2019,ProShares UltraShort FTSE China 50,FXP,63.11,61.6,2.45130,1.51,501.95,31677875.17
02/05/2019,ProShares UltraShort FTSE China 50,FXP,61.6,63.43,-2.88507,-1.83,501.95,30919935.2
02/04/2019,ProShares UltraShort FTSE China 50,FXP,63.43,63.57,-0.22023,-0.14,501.95,31838498.21
02/01/2019,ProShares UltraShort FTSE China 50,FXP,63.57,62.4,1.87500,1.17,501.95,31908770.79
01/31/2019,ProShares UltraShort FTSE China 50,FXP,62.4,64.08,-2.62172,-1.68,501.95,31321492.8
01/30/2019,ProShares UltraShort FTSE China 50,FXP,64.08,66.43,-3.53756,-2.35,501.95,32164763.76
01/29/2019,ProShares UltraShort FTSE China 50,FXP,66.43,66.42,0.01506,0.01,501.95,33344339.21
01/28/2019,ProShares UltraShort FTSE China 50,FXP,66.42,65.33,1.66845,1.09,501.95,33339319.74
01/25/2019,ProShares UltraShort FTSE China 50,FXP,65.33,67.87,-3.74245,-2.54,501.95,32792197.51
01/24/2019,ProShares UltraShort FTSE China 50,FXP,67.87,69.31,-2.07762,-1.44,501.95,34067142.89
01/23/2019,ProShares UltraShort FTSE China 50,FXP,69.31,70.93,-2.28394,-1.62,501.95,34789946.57
01/22/2019,ProShares UltraShort FTSE China 50,FXP,70.93,68.12,4.12507,2.81,501.95,35603100.71
01/18/2019,ProShares UltraShort FTSE China 50,FXP,68.12,69.47,-1.94328,-1.35,501.95,34192629.64
01/17/2019,ProShares UltraShort FTSE China 50,FXP,69.47,69.89,-0.60094,-0.42,501.95,34870258.09
01/16/2019,ProShares UltraShort FTSE China 50,FXP,69.89,71.82,-2.68727,-1.93,501.95,35081075.83
01/15/2019,ProShares UltraShort FTSE China 50,FXP,71.82,73.24,-1.93883,-1.42,501.95,36049833.54
01/14/2019,ProShares UltraShort FTSE China 50,FXP,73.24,71.53,2.39061,1.71,501.95,36762598.28
01/11/2019,ProShares UltraShort FTSE China 50,FXP,71.53,70.89,0.90281,0.64,501.95,35904268.91
01/10/2019,ProShares UltraShort FTSE China 50,FXP,70.89,71.73,-1.17106,-0.84,501.95,35583022.83
01/09/2019,ProShares UltraShort FTSE China 50,FXP,71.73,74.27,-3.41995,-2.54,451.95,32418158.31
01/08/2019,ProShares UltraShort FTSE China 50,FXP,74.27,74.95,-0.90727,-0.68,451.95,33566103.69
01/07/2019,ProShares UltraShort FTSE China 50,FXP,74.95,75.29,-0.45159,-0.34,451.95,33873427.65
01/04/2019,ProShares UltraShort FTSE China 50,FXP,75.29,80.76,-6.77316,-5.47,451.95,34027089.63
01/03/2019,ProShares UltraShort FTSE China 50,FXP,80.76,78.05,3.47213,2.71,451.95,36499239.72
01/02/2019,ProShares UltraShort FTSE China 50,FXP,78.05,76.78,1.65408,1.27,451.95,35274463.35
12/31/2018,ProShares UltraShort FTSE China 50,FXP,76.78,76.81,-0.03906,-0.03,501.95,38539490.66
12/28/2018,ProShares UltraShort FTSE China 50,FXP,76.81,76.72,0.11731,0.09,501.95,38554549.07
12/27/2018,ProShares UltraShort FTSE China 50,FXP,76.72,75.29,1.89932,1.43,501.95,38509373.84
12/26/2018,ProShares UltraShort FTSE China 50,FXP,75.29,78.61,-4.22338,-3.32,501.95,37791589.63
12/24/2018,ProShares UltraShort FTSE China 50,FXP,78.61,77.37,1.60269,1.24,501.95,39458053.67
12/21/2018,ProShares UltraShort FTSE China 50,FXP,77.37,76.23,1.49547,1.14,501.95,38835639.39
12/20/2018,ProShares UltraShort FTSE China 50,FXP,76.23,76.06,0.22351,0.17,501.95,38263419.81
12/19/2018,ProShares UltraShort FTSE China 50,FXP,76.06,73.64,3.28626,2.42,501.95,38178088.82
12/18/2018,ProShares UltraShort FTSE China 50,FXP,73.64,73.15,0.66986,0.49,501.95,36963377.08
12/17/2018,ProShares UltraShort FTSE China 50,FXP,73.15,71.14,2.82541,2.01,451.95,33059923.05
12/14/2018,ProShares UltraShort FTSE China 50,FXP,71.14,69.59,2.22733,1.55,451.95,32151509.58
12/13/2018,ProShares UltraShort FTSE China 50,FXP,69.59,70.71,-1.58393,-1.12,451.95,31450991.73
12/12/2018,ProShares UltraShort FTSE China 50,FXP,70.71,72.82,-2.89756,-2.11,451.95,31957172.37
12/11/2018,ProShares UltraShort FTSE China 50,FXP,72.82,73.73,-1.23423,-0.91,501.95,36551780.54
12/10/2018,ProShares UltraShort FTSE China 50,FXP,73.73,73.14,0.80667,0.59,501.95,37008552.31
12/07/2018,ProShares UltraShort FTSE China 50,FXP,73.14,70.18,4.21773,2.96,501.95,36712403.58
12/06/2018,ProShares UltraShort FTSE China 50,FXP,70.18,68.37,2.64736,1.81,501.95,35226640.46
12/04/2018,ProShares UltraShort FTSE China 50,FXP,68.37,66.35,3.04446,2.02,501.95,34318116.39
12/03/2018,ProShares UltraShort FTSE China 50,FXP,66.35,68.4,-2.99708,-2.05,501.95,33304183.45
11/30/2018,ProShares UltraShort FTSE China 50,FXP,68.4,70.36,-2.78567,-1.96,501.95,34333174.8
11/29/2018,ProShares UltraShort FTSE China 50,FXP,70.36,68.18,3.19742,2.18,501.95,35316990.92
11/28/2018,ProShares UltraShort FTSE China 50,FXP,68.18,71.37,-4.46967,-3.19,501.95,34222746.46
11/27/2018,ProShares UltraShort FTSE China 50,FXP,71.37,71.57,-0.27945,-0.2,501.95,35823957.39
11/26/2018,ProShares UltraShort FTSE China 50,FXP,71.57,74.59,-4.04880,-3.02,451.95,32345846.79
11/23/2018,ProShares UltraShort FTSE China 50,FXP,74.59,72.48,2.91115,2.11,451.95,33710726.73
11/21/2018,ProShares UltraShort FTSE China 50,FXP,72.48,75.27,-3.70666,-2.79,451.95,32757118.56
11/20/2018,ProShares UltraShort FTSE China 50,FXP,75.27,73.01,3.09547,2.26,451.95,34018050.69
11/19/2018,ProShares UltraShort FTSE China 50,FXP,73.01,70.69,3.28194,2.32,451.95,32996650.47
11/16/2018,ProShares UltraShort FTSE China 50,FXP,70.69,71.31,-0.86944,-0.62,451.95,31948133.43
11/15/2018,ProShares UltraShort FTSE China 50,FXP,71.31,74.04,-3.68720,-2.73,401.95,28662840.57
11/14/2018,ProShares UltraShort FTSE China 50,FXP,74.04,74.74,-0.93658,-0.7,401.95,29760155.88
11/13/2018,ProShares UltraShort FTSE China 50,FXP,74.74,77.88,-4.03184,-3.14,451.95,33778518.78
11/12/2018,ProShares UltraShort FTSE China 50,FXP,77.88,76.54,1.75072,1.34,451.95,35197632.36
11/09/2018,ProShares UltraShort FTSE China 50,FXP,76.54,72.59,5.44152,3.95,451.95,34592023.38
11/08/2018,ProShares UltraShort FTSE China 50,FXP,72.59,69.37,4.64178,3.22,451.95,32806832.73
11/07/2018,ProShares UltraShort FTSE China 50,FXP,69.37,72.32,-4.07909,-2.95,451.95,31351563.39
11/06/2018,ProShares UltraShort FTSE China 50,FXP,72.32,72.31,0.01383,0.01,451.95,32684807.04
11/05/2018,ProShares UltraShort FTSE China 50,FXP,72.31,72.48,-0.23455,-0.17,451.95,32680287.57
11/02/2018,ProShares UltraShort FTSE China 50,FXP,72.48,72.97,-0.67151,-0.49,451.95,32757118.56
11/01/2018,ProShares UltraShort FTSE China 50,FXP,72.97,79.68,-8.42118,-6.71,451.95,32978572.59
10/31/2018,ProShares UltraShort FTSE China 50,FXP,79.68,81.7,-2.47246,-2.02,401.95,32027136.96
10/30/2018,ProShares UltraShort FTSE China 50,FXP,81.7,84.12,-2.87684,-2.42,401.95,32839069.9
10/29/2018,ProShares UltraShort FTSE China 50,FXP,84.12,81.13,3.68544,2.99,401.95,33811781.64
10/26/2018,ProShares UltraShort FTSE China 50,FXP,81.13,78.58,3.24510,2.55,451.95,36666460.11
10/25/2018,ProShares UltraShort FTSE China 50,FXP,78.58,82.36,-4.58961,-3.78,401.95,31584995.26
10/24/2018,ProShares UltraShort FTSE China 50,FXP,82.36,77.82,5.83398,4.54,401.95,33104354.92
10/23/2018,ProShares UltraShort FTSE China 50,FXP,77.82,75.4,3.20955,2.42,401.95,31279515.54
10/22/2018,ProShares UltraShort FTSE China 50,FXP,75.4,79.69,-5.38336,-4.29,401.95,30306803.8
10/19/2018,ProShares UltraShort FTSE China 50,FXP,79.69,83.3,-4.33373,-3.61,401.95,32031156.43
10/18/2018,ProShares UltraShort FTSE China 50,FXP,83.3,78.87,5.61684,4.43,451.95,37647185.1
10/17/2018,ProShares UltraShort FTSE China 50,FXP,78.87,76.99,2.44188,1.88,401.95,31701559.89
10/16/2018,ProShares UltraShort FTSE China 50,FXP,76.99,79.93,-3.67822,-2.94,401.95,30945899.53
10/15/2018,ProShares UltraShort FTSE China 50,FXP,79.93,77.67,2.90975,2.26,451.95,36124123.71
10/12/2018,ProShares UltraShort FTSE China 50,FXP,77.67,81.88,-5.14167,-4.21,451.95,35102723.49
10/11/2018,ProShares UltraShort FTSE China 50,FXP,81.88,80.45,1.77750,1.43,451.95,37005420.36
10/10/2018,ProShares UltraShort FTSE China 50,FXP,80.45,76.32,5.41143,4.13,451.95,36359136.15
10/09/2018,ProShares UltraShort FTSE China 50,FXP,76.32,76.06,0.34184,0.26,501.95,38308595.04
10/08/2018,ProShares UltraShort FTSE China 50,FXP,76.06,74.95,1.48099,1.11,501.95,38178088.82
10/05/2018,ProShares UltraShort FTSE China 50,FXP,74.95,75.58,-0.83355,-0.63,451.95,33873427.65
10/04/2018,ProShares UltraShort FTSE China 50,FXP,75.58,72.05,4.89938,3.53,451.95,34158154.26
