Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/15/2019,ProShares Ultra FTSE China 50,XPP,72.34,70.39,2.77028,1.95,550,39787000
03/14/2019,ProShares Ultra FTSE China 50,XPP,70.39,70.87,-0.67730,-0.48,525,36954750
03/13/2019,ProShares Ultra FTSE China 50,XPP,70.87,71.26,-0.54729,-0.39,475,33663250
03/12/2019,ProShares Ultra FTSE China 50,XPP,71.26,69.63,2.34094,1.63,475,33848500
03/11/2019,ProShares Ultra FTSE China 50,XPP,69.63,66.97,3.97193,2.66,475,33074250
03/08/2019,ProShares Ultra FTSE China 50,XPP,66.97,69.47,-3.59868,-2.5,450,30136500
03/07/2019,ProShares Ultra FTSE China 50,XPP,69.47,72.73,-4.48233,-3.26,450,31261500
03/06/2019,ProShares Ultra FTSE China 50,XPP,72.73,74.22,-2.00755,-1.49,450,32728500
03/05/2019,ProShares Ultra FTSE China 50,XPP,74.22,72.44,2.45721,1.78,425,31543500
03/04/2019,ProShares Ultra FTSE China 50,XPP,72.44,71.63,1.13081,0.81,425,30787000
03/01/2019,ProShares Ultra FTSE China 50,XPP,71.63,69.9,2.47496,1.73,425,30442750
02/28/2019,ProShares Ultra FTSE China 50,XPP,69.9,70.89,-1.39653,-0.99,425,29707500
02/27/2019,ProShares Ultra FTSE China 50,XPP,70.89,73.26,-3.23505,-2.37,400,28356000
02/26/2019,ProShares Ultra FTSE China 50,XPP,73.26,74.49,-1.65123,-1.23,400,29304000
02/25/2019,ProShares Ultra FTSE China 50,XPP,74.49,71.65,3.96371,2.84,400,29796000
02/22/2019,ProShares Ultra FTSE China 50,XPP,71.65,69.29,3.40597,2.36,400,28660000
02/21/2019,ProShares Ultra FTSE China 50,XPP,69.29,69.63,-0.48830,-0.34,400,27716000
02/20/2019,ProShares Ultra FTSE China 50,XPP,69.63,68.85,1.13290,0.78,400,27852000
02/19/2019,ProShares Ultra FTSE China 50,XPP,68.85,66.9,2.91480,1.95,400,27540000
02/15/2019,ProShares Ultra FTSE China 50,XPP,66.9,67.64,-1.09403,-0.74,400,26760000
02/14/2019,ProShares Ultra FTSE China 50,XPP,67.64,68.17,-0.77747,-0.53,400,27056000
02/13/2019,ProShares Ultra FTSE China 50,XPP,68.17,66.92,1.86790,1.25,400,27268000
02/12/2019,ProShares Ultra FTSE China 50,XPP,66.92,66.68,0.35993,0.24,400,26768000
02/11/2019,ProShares Ultra FTSE China 50,XPP,66.68,66.31,0.55799,0.37,400,26672000
02/08/2019,ProShares Ultra FTSE China 50,XPP,66.31,66.28,0.04526,0.03,400,26524000
02/07/2019,ProShares Ultra FTSE China 50,XPP,66.28,67.79,-2.22747,-1.51,400,26512000
02/06/2019,ProShares Ultra FTSE China 50,XPP,67.79,69.5,-2.46043,-1.71,400,27116000
02/05/2019,ProShares Ultra FTSE China 50,XPP,69.5,67.54,2.90198,1.96,400,27800000
02/04/2019,ProShares Ultra FTSE China 50,XPP,67.54,67.39,0.22258,0.15,425,28704500
02/01/2019,ProShares Ultra FTSE China 50,XPP,67.39,68.67,-1.86399,-1.28,425,28640750
01/31/2019,ProShares Ultra FTSE China 50,XPP,68.67,66.93,2.59973,1.74,425,29184750
01/30/2019,ProShares Ultra FTSE China 50,XPP,66.93,64.65,3.52668,2.28,425,28445250
01/29/2019,ProShares Ultra FTSE China 50,XPP,64.65,64.65,0.00000,0,425,27476250
01/28/2019,ProShares Ultra FTSE China 50,XPP,64.65,65.75,-1.67300,-1.1,425,27476250
01/25/2019,ProShares Ultra FTSE China 50,XPP,65.75,63.36,3.77210,2.39,425,27943750
01/24/2019,ProShares Ultra FTSE China 50,XPP,63.36,62.08,2.06186,1.28,425,26928000
01/23/2019,ProShares Ultra FTSE China 50,XPP,62.08,60.71,2.25663,1.37,425,26384000
01/22/2019,ProShares Ultra FTSE China 50,XPP,60.71,63.31,-4.10678,-2.6,425,25801750
01/18/2019,ProShares Ultra FTSE China 50,XPP,63.31,62.11,1.93206,1.2,425,26906750
01/17/2019,ProShares Ultra FTSE China 50,XPP,62.11,61.74,0.59929,0.37,425,26396750
01/16/2019,ProShares Ultra FTSE China 50,XPP,61.74,60.14,2.66046,1.6,425,26239500
01/15/2019,ProShares Ultra FTSE China 50,XPP,60.14,58.99,1.94948,1.15,425,25559500
01/14/2019,ProShares Ultra FTSE China 50,XPP,58.99,60.43,-2.38292,-1.44,425,25070750
01/11/2019,ProShares Ultra FTSE China 50,XPP,60.43,60.97,-0.88568,-0.54,425,25682750
01/10/2019,ProShares Ultra FTSE China 50,XPP,60.97,60.27,1.16144,0.7,425,25912250
01/09/2019,ProShares Ultra FTSE China 50,XPP,60.27,58.28,3.41455,1.99,425,25614750
01/08/2019,ProShares Ultra FTSE China 50,XPP,58.28,57.76,0.90028,0.52,425,24769000
01/07/2019,ProShares Ultra FTSE China 50,XPP,57.76,57.5,0.45217,0.26,425,24548000
01/04/2019,ProShares Ultra FTSE China 50,XPP,57.5,53.85,6.77809,3.65,425,24437500
01/03/2019,ProShares Ultra FTSE China 50,XPP,53.85,55.8,-3.49462,-1.95,425,22886250
01/02/2019,ProShares Ultra FTSE China 50,XPP,55.8,56.73,-1.63934,-0.93,425,23715000
12/31/2018,ProShares Ultra FTSE China 50,XPP,56.73,56.7,0.05291,0.03,425,24110250
12/28/2018,ProShares Ultra FTSE China 50,XPP,56.7,56.77,-0.12330,-0.07,425,24097500
12/27/2018,ProShares Ultra FTSE China 50,XPP,56.77,57.87,-1.90081,-1.1,425,24127250
12/26/2018,ProShares Ultra FTSE China 50,XPP,57.87,56.43,2.55183,1.44,425,24594750
12/24/2018,ProShares Ultra FTSE China 50,XPP,56.43,57.34,-1.58702,-0.91,425,23982750
12/21/2018,ProShares Ultra FTSE China 50,XPP,57.34,58.21,-1.49459,-0.87,425,24369500
12/20/2018,ProShares Ultra FTSE China 50,XPP,58.21,58.35,-0.23993,-0.14,450,26194500
12/19/2018,ProShares Ultra FTSE China 50,XPP,58.35,60.35,-3.31400,-2,450,26257500
12/18/2018,ProShares Ultra FTSE China 50,XPP,60.35,60.76,-0.67479,-0.41,450,27157500
12/17/2018,ProShares Ultra FTSE China 50,XPP,60.76,62.53,-2.83064,-1.77,450,27342000
12/14/2018,ProShares Ultra FTSE China 50,XPP,62.53,63.95,-2.22048,-1.42,450,28138500
12/13/2018,ProShares Ultra FTSE China 50,XPP,63.95,62.96,1.57243,0.99,450,28777500
12/12/2018,ProShares Ultra FTSE China 50,XPP,62.96,61.19,2.89263,1.77,450,28332000
12/11/2018,ProShares Ultra FTSE China 50,XPP,61.19,60.45,1.22415,0.74,475,29065250
12/10/2018,ProShares Ultra FTSE China 50,XPP,60.45,60.93,-0.78779,-0.48,475,28713750
