Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/14/2019,ProShares Short FTSE China 50,YXI,18.68,18.62,0.32223,0.06,400,7472000
03/13/2019,ProShares Short FTSE China 50,YXI,18.62,18.57,0.26925,0.05,350,6517000
03/12/2019,ProShares Short FTSE China 50,YXI,18.57,18.79,-1.17084,-0.22,350,6499500
03/11/2019,ProShares Short FTSE China 50,YXI,18.79,19.17,-1.98226,-0.38,350,6576500
03/08/2019,ProShares Short FTSE China 50,YXI,19.17,18.83,1.80563,0.34,350,6709500
03/07/2019,ProShares Short FTSE China 50,YXI,18.83,18.42,2.22584,0.41,350,6590500
03/06/2019,ProShares Short FTSE China 50,YXI,18.42,18.24,0.98684,0.18,350,6447000
03/05/2019,ProShares Short FTSE China 50,YXI,18.24,18.46,-1.19177,-0.22,350,6384000
03/04/2019,ProShares Short FTSE China 50,YXI,18.46,18.57,-0.59235,-0.11,350,6461000
03/01/2019,ProShares Short FTSE China 50,YXI,18.57,18.8,-1.22340,-0.23,350,6499500
02/28/2019,ProShares Short FTSE China 50,YXI,18.8,18.67,0.69630,0.13,350,6580000
02/27/2019,ProShares Short FTSE China 50,YXI,18.67,18.37,1.63310,0.3,350,6534500
02/26/2019,ProShares Short FTSE China 50,YXI,18.37,18.22,0.82327,0.15,350,6429500
02/25/2019,ProShares Short FTSE China 50,YXI,18.22,18.59,-1.99032,-0.37,350,6377000
02/22/2019,ProShares Short FTSE China 50,YXI,18.59,18.91,-1.69223,-0.32,350,6506500
02/21/2019,ProShares Short FTSE China 50,YXI,18.91,18.87,0.21198,0.04,350,6618500
02/20/2019,ProShares Short FTSE China 50,YXI,18.87,18.98,-0.57956,-0.11,350,6604500
02/19/2019,ProShares Short FTSE China 50,YXI,18.98,19.25,-1.40260,-0.27,350,6643000
02/15/2019,ProShares Short FTSE China 50,YXI,19.25,19.15,0.52219,0.1,350,6737500
02/14/2019,ProShares Short FTSE China 50,YXI,19.15,19.08,0.36688,0.07,350,6702500
02/13/2019,ProShares Short FTSE China 50,YXI,19.08,19.26,-0.93458,-0.18,350,6678000
02/12/2019,ProShares Short FTSE China 50,YXI,19.26,19.29,-0.15552,-0.03,350,6741000
02/11/2019,ProShares Short FTSE China 50,YXI,19.29,19.34,-0.25853,-0.05,350,6751500
